ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,Recipe Suggestion,Protein (g),Carbs (g),Fat (g),Fiber (g)
"Almond/Badam - Californian, Giri",BB Royal,1500,1050,https://www.bigbasket.com/media/uploads/p/l/40088564_8-bb-royal-almondbadam-californian-giri.jpg,1 kg,"Foodgrains, Oil & Masala",Almonds,https://www.bigbasket.com/pd/40088564/bb-royal-almondbadam-californian-giri-1-kg-pouch/,Dry Fruit Ladoo,5,20,10,2
"Amaranthus - Green Cleaned, without roots",Fresho,176.62,78,https://www.bigbasket.com/media/uploads/p/l/10000324_15-fresho-amaranthus-green-cleaned-without-roots.jpg,1 Kg,Fruits & Vegetables,Leafy Vegetables,https://www.bigbasket.com/pd/10000324/fresho-amaranthus-green-cleaned-without-roots-1-kg/,Saag/Leafy Veg Curry,5,10,5,5
"Amaranthus - Red Cleaned, without roots",Fresho,141.56,69.5,https://www.bigbasket.com/media/uploads/p/l/40001242_16-fresho-amaranthus-red-cleaned-without-roots.jpg,1 kg,Fruits & Vegetables,Leafy Vegetables,https://www.bigbasket.com/pd/40001242/fresho-amaranthus-red-cleaned-without-roots-1-kg/,Saag/Leafy Veg Curry,5,10,5,5
Amla (Loose),Fresho,135.06,82,https://www.bigbasket.com/media/uploads/p/l/10000332_14-fresho-amla.jpg,1 kg,Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/10000332/fresho-amla-1-kg/,Mixed Veg Curry,4,14,7,4
Anjeer/Figs/Atti Hannu,BB Royal,2500,1750,https://www.bigbasket.com/media/uploads/p/l/40112516_4-bb-royal-figsanjeer.jpg,1 kg,"Foodgrains, Oil & Masala",Other Dry Fruits,https://www.bigbasket.com/pd/40112516/bb-royal-figsanjeer-1-kg/,Dry Fruit Ladoo,5,20,10,2
Anjeer/Figs/Atti Hannu,BB Popular,2000,1205,https://www.bigbasket.com/media/uploads/p/l/40112517_7-bb-popular-figsanjeer.jpg,1 kg,"Foodgrains, Oil & Masala",Other Dry Fruits,https://www.bigbasket.com/pd/40112517/bb-popular-figsanjeer-1-kg/,Dry Fruit Ladoo,5,20,10,2
Arhar/Toor Dal Or Yellow Pigeon Peas,Natureland Organics,255,191.25,https://www.bigbasket.com/media/uploads/p/l/40261310_1-natureland-organics-arhartoor-dal-or-yellow-pigeon-peas.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40261310/natureland-organics-arhartoor-dal-or-yellow-pigeon-peas-1-kg/,Dal Tadka,9,18,3,4
"Atta Sharbati 100% Mp Whole Wheat, Rotis Stay Softer For Longer",BB Royal,68,59,https://www.bigbasket.com/media/uploads/p/l/40151625_7-bb-royal-superior-mp-sharbati-atta-fortified.jpg,1 kg,"Foodgrains, Oil & Masala",Atta Whole Wheat,https://www.bigbasket.com/pd/40151625/bb-royal-superior-mp-sharbati-atta-fortified-1-kg/,Roti / Paratha,3,16,1,2
"Atta With 9 Multigrains, High Fibre & High Protein Soft Rotis",BB Royal,68,62,https://www.bigbasket.com/media/uploads/p/l/40189431_3-bb-royal-multigrain-atta-fortified.jpg,1 kg,"Foodgrains, Oil & Masala",Atta Whole Wheat,https://www.bigbasket.com/pd/40189431/bb-royal-multigrain-atta-fortified-1-kg-pouch/,Roti / Paratha,3,16,1,2
Atta/Godihittu - Whole Wheat,Aashirvaad,65,63,https://www.bigbasket.com/media/uploads/p/l/30006887_7-aashirvaad-atta-whole-wheat.jpg,1 kg,"Foodgrains, Oil & Masala",Atta Whole Wheat,https://www.bigbasket.com/pd/30006887/aashirvaad-atta-whole-wheat-1-kg-pouch/,Roti / Paratha,3,16,1,2
